ID,Percentage,Category,no_Anch,no_Chg,Anch1,Anch2,Anch3,Anch4,Chg1,Chg2,Chg3,Chg4,Chg5,Hgt1,Hgt2,Hgt3,Hgt4,Hgt5
1,0.197227531049,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
2,0.391883035172,TN,2,3,0,4,-99,-99,3,6,8,-99,-99,4.0,-1.0,1.0,-99,-99,
3,0.206087485381,TN,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
4,0.199077986281,TN,3,0,0,15,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
5,0.714030369692,FP,4,4,0,3,5,8,3,7,17,21,-99,-1.0,-1.0,4.0,4.0,-99,
6,0.170718957624,TN,2,0,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
7,0.0670011161911,FN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
8,0.374583222443,FN,0,3,-99,-99,-99,-99,3,4,21,-99,-99,4.0,1.0,-1.0,-99,-99,
9,0.254775210399,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
10,0.163431555244,TN,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
11,0.666079236775,TP,4,3,0,5,8,14,3,7,21,-99,-99,-1.0,-1.0,4.0,-99,-99,
12,0.0731176425036,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
13,0.654962485102,FP,0,3,-99,-99,-99,-99,4,17,21,-99,-99,-1.0,2.0,3.0,-99,-99,
14,0.703941928539,TP,0,3,-99,-99,-99,-99,4,17,21,-99,-99,-1.0,3.0,4.0,-99,-99,
15,0.178429507864,TN,3,0,0,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
16,0.127015775326,TN,3,0,0,15,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
17,0.2006739463,TN,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
18,0.166407542714,TN,3,0,0,3,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
